"year","month","day","mode","route","peak","numerator","denominator","mean"
2023,2,6,"Rail","Orange","PEAK",66600.492783561,72517.204203326,0.918409548675159
2023,2,6,"Rail","Red","OFF_PEAK",99936.481880006,116764.183602212,0.855883018207587
2023,2,6,"Rail","Red","PEAK",82050.858348464,97978.735098146,0.837435370708481
2023,2,7,"Rail","Blue","OFF_PEAK",40702.745902057,42959.920155689,0.94745860221686
2023,2,7,"Rail","Blue","PEAK",28011.985259204,28753.414705318,0.974214212339209
2023,2,7,"Rail","Green-B","OFF_PEAK",9057.355031603,10742.59032113,0.843125797489247
2023,2,7,"Rail","Green-B","PEAK",6060.533798534,6928.384956702,0.874739760623649
2023,2,7,"Rail","Green-C","OFF_PEAK",10363.661438441,13123.893960578,0.789678846047653
2023,2,7,"Rail","Green-C","PEAK",7315.380610733,9400.525774552,0.778188453090181
2023,2,7,"Rail","Green-D","OFF_PEAK",18507.400057363,23739.786278481,0.779594215392709
2023,2,7,"Rail","Green-D","PEAK",13630.279819205,17629.3928203,0.773156509594019
2023,2,7,"Rail","Green-E","OFF_PEAK",18665.118205198,21951.157243941,0.85030224137044
2023,2,7,"Rail","Green-E","PEAK",13241.389889101,14985.890365051,0.883590468537098
2023,2,7,"Rail","Orange","OFF_PEAK",81696.874759714,90611.27545275,0.901619300153385
2023,2,7,"Rail","Orange","PEAK",65226.491677687,71257.879271003,0.915358306267047
2023,2,7,"Rail","Red","OFF_PEAK",97853.343201003,115959.929787969,0.843854798635411
2023,2,7,"Rail","Red","PEAK",84635.923288256,100420.567314268,0.84281463002879
2023,2,8,"Rail","Blue","OFF_PEAK",40065.056743884,42733.864558586,0.937548175381068
2023,2,8,"Rail","Blue","PEAK",27031.24575762,28575.670772285,0.945953149202611
2023,2,8,"Rail","Green-B","OFF_PEAK",9611.424824609,11344.396469476,0.847239855418501
2023,2,8,"Rail","Green-B","PEAK",6390.366834735,7232.623778609,0.883547524431585
2023,2,8,"Rail","Green-C","OFF_PEAK",10468.150627145,13309.074053882,0.786542368369469
2023,2,8,"Rail","Green-C","PEAK",8552.782211952,10681.792492643,0.800687919920057
2023,2,8,"Rail","Green-D","OFF_PEAK",17990.513194855,23771.837407991,0.756799438179205
2023,2,8,"Rail","Green-D","PEAK",13400.941378747,17223.04740561,0.778081895912448
2023,2,8,"Rail","Green-E","OFF_PEAK",16768.538664542,21868.570277592,0.766787149396967
2023,2,8,"Rail","Green-E","PEAK",12365.824568562,15245.553633332,0.811110233578273
2023,2,8,"Rail","Orange","OFF_PEAK",83713.554623626,89643.390769316,0.933850827207668
2023,2,8,"Rail","Orange","PEAK",71190.03458818,72898.135793651,0.976568657252004
2023,2,8,"Rail","Red","OFF_PEAK",102555.256185517,116730.711003584,0.878562764706952
2023,2,8,"Rail","Red","PEAK",86836.278035951,99047.726071525,0.876711475165459
2023,2,9,"Rail","Blue","OFF_PEAK",40609.348268619,43221.557837073,0.93956234575577
2023,2,9,"Rail","Blue","PEAK",27212.182825168,28643.443047349,0.950031837310373
2023,2,9,"Rail","Green-B","OFF_PEAK",9339.526120109,11224.831704491,0.83204152774712
2023,2,9,"Rail","Green-B","PEAK",6072.570105159,7048.657949155,0.861521462519966
2023,2,9,"Rail","Green-C","OFF_PEAK",10113.452647212,13151.86326018,0.768974893301437
2023,2,9,"Rail","Green-C","PEAK",7747.161885069,9590.777647968,0.807772025317508
